delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela
ČIŠČENJE POSLOVNIH PROSTOROV,435560,KIDRIČEVO,7.70,8.95,"V podjetju potrebujejo polnoletno in zanesljivo osebo za čiščenje poslovnih prostorov. Delo poteka v popoldanskem času med ponedeljkom in petkom ter med vikendi dopoldan. Višina urne postavke za delo v popoldanskem času je 8,95 € bruto, ob nedeljah pa 9,65 € bruto. Nudijo tudi malico. Pogoj: vozniški izpit B kategorije. ",1,PO DOGOVORU,POPOLDAN,22. 8. 2024
POMOČ V AMBULANTI,435559,LJUBLJANA,6.45,7.50,Potrebujejo študenta/ko zdravstvene nege in študenta/ko medicine– pomoč v ambulantnem delu na področju zdravstvene nege - delo dopoldne. Začetek dela takoj po ureditvi administrativnih zahtev. ,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,21. 8. 2024
RAČUNALNIŠKE STORITVE,435558,BREZOVICA PRI LJUBLJANI,7.00,8.13,"Vodilno geoinformacijsko podjetje v regiji išče študentsko pomoč za 3D zajem topografskih podatkov. Predhodno znanje ni potrebno, je pa priporočljivo, da študent/ka pozna GIS logiko (SHP podatki, vektorizacija). Delo se lahko prilagodi študijskim obveznostim in poteka na sedežu podjetja dopoldan oz. po dogovoru. Začetek dela takoj. Prijava na delo in CV se pošlje na mail. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,21. 8. 2024
DELO NA TERENU,435557,ZAGORJE,9.00,10.46,"Občasna pomoč pri montažah kuhinjskih elementov in stekla, ter aluminijastih konstrukcij. ",1,PO DOGOVORU,DOPOLDAN,2. 9. 2024
TRENER/KA,435556,LJUBLJANA,14.00,16.27,"Vsako novo sezono v klubu odpirajo možnosti športnega dela z mladimi v ritmični in splošni gimnastiki.  Uvajajo pomočnike/ce in samostojne trenerje/ke. V kolikor želiš delo v odličnem, mladem, povezanem kolektivu, se lahko prijaviš s krajšim CV do 27. 8. 2024. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,9. 9. 2024
DIGITALNI MARKETING,435555,LJUBLJANA,6.20,7.21,"Iščejo osebo, ki bo prevzela delovne naloge v oddelku za marketing s poudarkom na urejanju spletnih strani, družbenih omrežij in e-poštnem marketingu. Naloge in odgovornosti: urejanje spletnih strani, upravljanje načrta aktivnosti na družbenih omrežjih,  priprava vsebin za družbena omrežja, priprava in razpošiljanje e-novic ter skrbništvo nad adremami, osnovne naloge spletne analitike, udeležba na dogodkih. Ponujajo:  cca 10 delovnih ur tedensko. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2. 9. 2024
POMOČ V PLANINSKEM DOMU,435554,POD TRIGLAVOM ALI STOL,8.00,9.30,"V planinski koči iščejo osebi za pomoč v strežbi. Zaželene so izkušnje v gostinstvu, komunikativnost in dobrovoljnost. Zagotovljena prehrana in bivanje v koči. Urna postavka se lahko poviša glede na dobro opravljeno delo.   ",2,DO 22. 9. 2024,PO DOGOVORU,1. 9. 2024
STREŽBA,435553,CELJE,7.50,8.72,"Nov lokal v privlačnem rock stilu išče več študentov/k za pomoč v strežbi. Pogoji so: komunikativnost, stilska urejenost, samoiniciativnost in doslednost. Ob urni postavki nudijo dodatno stimulacijo glede na pridnost in promet. ",4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2. 9. 2024
INFORMATOR/KA - TIC,435552,LJUBLJANA,7.31,8.50,"Dinamično delo, ki obsega informiranje turistov, prodajo izletov, spominkov in prodajo kart. Pogoji: aktivno znanje angleškega jezika, komunikativnost, samoiniciativnost, urejenost, veselje do dela s strankami in dobro poznavanje Ljubljane. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
POMOČ PRI PRODAJI,435551,KOZINA,6.93,8.05,"Uspešno trgovsko podjetje ti ponuja možnost dela v super kolektivu, kjer lahko dobro zaslužiš in dobiš veliko izkušenj na področju dela v trgovini. Nudijo ti prilagodljiv urnik, ki ti omogoča prilagajanje študijskim obveznostim. Če meniš, da si zanesljiva oseba, ki ji je mar za čistočo in red, ne odlašaj s prijavo in se jim pridruži. Pogoj za delo je starost nad 18 let. ",1,PO DOGOVORU,PO DOGOVORU,22. 8. 2024
DELO V PROIZVODNJI,435550,KRANJ - LABORE,6.88,8.00,"V podjetju iščejo polnoletne, fizično močne, vestne in zanesljive osebe, za delo v proizvodnji. Gre za triizmensko delo, po dogovoru in potrebi. Proizvodnja obratuje od ponedeljka do petka. Nudijo stimulativno plačilo ter možnost dolgoročnega, občasnega sodelovanja. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,26. 8. 2024
DELO NA BLAGAJNI,435549,MARIBOR,7.00,8.13,"Iščejo osebo za pomoč na blagajni in v strežbi. Pogoji so starost nad 18 let, komunikativnost, resnost, odzivnost, prijaznost ter obvezno znanje slovenskega in angleškega jezika. Lokal je odprt od 9. 00 do 21. 00, ob nedeljah je zaprto. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
FIZIČNA DELA,435548,LUKOVICA,10.33,12.00,"Iščejo polnoletne osebe za pripravo izdelkov za dostavo v trgovine s pomočjo sodobne tehnične opreme. Delo poteka v večernem času (začetek dela ob 20. 00 do približno 1. 30 ponoči), po potrebi in dogovoru. Izkušnje niso potrebne. Podjetje ponuja možnost kasnejše redne zaposlitve. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO) OZ PO DOGOVORU,PO DOGOVORU,2. 9. 2024
DELO V KUHINJI,435547,RADOVLJICA,10.33,12.00,"Delo obsega: pomoč v kuhinji ter pripravljanje in čiščenje živil, čiščenje delovnih prostorov in pripomočkov ter posode, pomoč pri kuhanju in razdeljevanju hrane. Delo poteka v dveh izmenah, po potrebi in dogovoru. Pogoj je polnoletnost. Pošljite prijavo na e-mail. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
DELO V PRALNICI,435546,ROGAŠKA SLATINA,7.31,8.50,"Podjetje potrebuje več oseb za delo v pralnici perila, ročno zlaganje in vlaganje čistega perila v likalne stroje. Pogoja sta natančnost in veselje do dela. V podjetju je organizirana malica. Prijave pošljite na e-naslov. ",5,"SEPTEMBER, PO DOGOVORU TUDI KASNEJE",PO DOGOVORU,po dogovoru
POMOČ V KUHINJI,435545,LJUBLJANA,7.50,8.72,"Iščejo 2 osebi, za pomoč v kuhinji, za delo na žaru, v čisto novem lokalu. Delo bo potekalo izmensko med tednom in med vikendi, po potrebi in dogovoru (urnik se dogovori za en teden naprej). Delo poteka v prijetnem kolektivu. Nudijo malico in nagrajevanje uspešnega dela. Iščejo odgovorne, disciplinirane in resne študente/ke za daljše občasno sodelovanje. Izkušnje dobrodošle. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
STREŽBA HRANE IN PIJAČE,435544,PORTOROŽ,8.61,10.00,"Potrebujejo več polnoletnih oseb za strežbo hrane in pijače v restavraciji. Izkušnje z delom v strežbi so zaželene, prav tako znanje tujih jezikov. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
STREŽBA,435543,LJUBLJANA,8.00,9.30,"Potrebujejo pomoč v strežbi. Delo je dopoldansko, izjemoma popoldne za zaključene družbe. Priporočene so izkušnje. Zaželen slovenski jezik. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,15. 9. 2024
USTVARJALEC/KA TIK TOK VSEBIN,435542,LJUBLJANA,po dogovoru,po dogovoru,"Podjetje išče osebo, ki ima neskončno veselje za vodenje aktivnosti TikTok in Insta soc. omrežij. Želijo si osebe, ki je izjemno kreativna, ki se pri hrani identificira s kvaliteto pred kvantiteto, je 100 % zanesljiva, je vešča fotografije, montaže, ima občutek za estetiko, izkušnje ter je stara nad 18 let. Plačilo je po projektu, glede na zastavljen obseg aktivnosti. Pošljite reference. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,21. 8. 2024
DELJENJE OBROKOV,435541,LJUBLJANA,10.00,11.62,"Potrebujejo več oseb za pomoč pri razdeljevanju šolskih obrokov na srednji šoli. Delo se izvaja na več različnih lokacijah, med ponedeljkom in petkom, med 7. 30 in 12. 30 odvisno od lokacije je odvisen delovni čas oziroma po potrebi in dogovoru. Prijavi se na delo s pripisom Razdeljevanje šolskih obrokov. ",8,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
POUČEVANJE,435540,LJUBLJANA,15.00,17.43,Iščejo osebo za poučevanje slovenščine. Zaželen absolvent/ka. ,1,DO 15. 10. 2024,DOPOLDAN,1. 9. 2024
PRODAJA,435539,LJUBLJANA,7.74,8.99,"Podjetje išče energično, organizirano in komunikativno osebo za delo prodajnega svetovalca oziroma prodajne svetovalke, ki obožuje delo z ljudmi in se rad/a uči. Pogoj je polnoletnost. Izkušnje niso pogoj, so pa zaželene. K prijavi dodajte svoj življenjepis. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,21. 8. 2024
STREŽBA,435538,ŠKOFJA LOKA,8.80,10.23,"Podjetje išče polnoletno osebo za delo v strežbi. Dela se v lokalu, občasno tudi na dogodkih po terenu. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
DELO V AMBULANTI,435537,LJUBLJANA,6.45,7.50,"Iščejo osebo za pomoč pri delu v specialistični ginekološki ambulantni dejavnosti. Delo od ponedeljka do četrtka poteka izmensko in petek dopoldan, po potrebi in dogovoru. Delo je zanimivo in razgibano. Zdravstvena izobrazba ni potrebna. ",1,PO DOGOVORU,IZMENSKO,1. 10. 2024
DELO V ZDRAVSTVU,435536,LJUBLJANA,6.20,7.21,"Iščejo osebi za administrativno pomoč v kliniki. Delo zajema pisanje zapisnikov, sprejemanje klicev na diagnostiki ter administrativni sprejem pacientov v hospitalno in ambulantno obravnavo. Pogoj je tekoče znanje slovenskega jezika. Pomoč potrebujejo predvsem med vikendi in prazniki, po potrebi in dogovoru pa lahko tudi v drugih terminih. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,po dogovoru
FRIZERSKE STORITVE,435535,LJUBLJANA,6.78,7.88,"Delo poteka v frizerskem salonu. Ponujajo delo v simpatičnem kolektivu s prijetnimi strankami. Naloge asistenta/ke so sprejem strank, umivanje las ter skrb za higieno frizerskega salona. Pogoj je zaključena frizerska šola ali trenutno izobraževanje v frizerski smeri ter komunikativnost, prijaznost, zanesljivost. ",1,PO DOGOVORU,PO DOGOVORU,po dogovoru
CATERING,435534,KOPER,8.00,9.30,"Želite postati del ekipe natakarjev/natakaric in delati na različnih catering dogodkih, piknikih, porokah, streženih večerjah, turističnih destinacijah? Če imate izkušnje v gostinstvu, ste zanesljive in komunikativne osebe, se prijavite preko e-prijave. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,24. 8. 2024
PRODAJA,435533,LITIJA,8.15,9.47,Iščejo osebo za delo v trgovini z mobilno telefonijo in zabavno elektroniko. Delo obsega prodajo in svetovanje. Pogoj je starost nad 18 let. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
POLNJENJE POLIC IN BLAGAJNIK,435532,RUŠE,7.74,9.00,"Zlaganje izdelkov na police v trgovini, občasno tudi delo na blagajni. ",1,PO DOGOVORU,IZMENSKO,po dogovoru
STREŽBA,435531,IZOLA,8.00,9.30,"Podjetje išče osebo za strežbo. Pogoj je starost nad 18 let. Dela se med vikendi in čez teden, po potrebi in dogovoru. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
MONTAŽA,435530,SEŽANA,8.50,9.88,Potrebujejo študenta/ki za pomoč pri montaži športnega poda. ,2,14 DNI,DOPOLDAN,po dogovoru
VARSTVO,435529,LJUBLJANA,7.00,8.13,"Postani del njihovega čarobnega sveta animacije in varstva otrok. Iščejo študenta/ko pedagoške smeri za animacijo otrok na rojstnih dnevih, porokah in dogodkih. Urna postavka se zviša z izkušnjami. Urnik si določaš sam/a. Prijavi se s CV-jem in izkušnjami. Postani del njihove profesionalne ekipe in uresniči svojo strast do dela z otroki. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,27. 8. 2024
STREŽBA,435528,LJUBLJANA,7.20,8.37,"Kolektiv lokala išče resni, komunikativni in prijazni osebi za strežbo. Pogoj je polnoletnost in veselje do dela z ljudmi. Izkušnje so zaželene, niso pa pogoj. Nudijo urnik po dogovoru, za dobro delo pa tudi stimulacijo.     ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2. 9. 2024
FIZIČNA DELA,435527,CELJE,8.61,10.00,"Ekipa modne trgovine ZARA CELJE potrebuje pomoč pri fizičnem delu. Delo poteka v dopoldanskih urah, 2x na teden, po potrebi in dogovoru. Prijave oddajte preko e-maila. V e-mailu dodajte CV in dopišite vašo telefonsko številko ter za katero trgovino, kraj in vrsto dela gre: ZARA CELJE FIZIKALCI. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
SELITVE,435526,CERKLJE NA GORENJSKEM,7.74,9.00,"Podjetje potrebuje več fizično močnejših oseb za vnos pohištvene opreme (mize, stoli, omare) iz tovornjaka v objekt (osnovna šola) v višje nadstropje. Delo poteka v petek, 30. 8. 2024, od jutra do popoldneva. Možnost prevoza iz Maribora ali Ljubljane. ",5,"PETEK, 30. 8. 2024",DOPOLDAN,30. 8. 2024
FRONT-END PROGRAMER,435524,LJUBLJANA IN OD DOMA,10.00,11.62,"V mladi ekipi, kjer razvijajo mobilne in web aplikacije, iščejo junior/mid FRONT-END razvijalca/ko z nekaj relevantnimi izkušnjami. Pogoji: poznavanje Flutter, Dart, Vue/Angular/React, SQL in PostgreSQL, TypeScript, osnove dela z API-ji. Iščejo posameznika/co, ki je željan/na novega znanja in se ne ustraši izzivov. Urnik je fleksibilen, večino dela opravite v pisarni v Ljubljani, sčasoma pa nudijo tudi hibridno delo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
BACK-END PROGRAMER,435523,LJUBLJANA IN OD DOMA,10.00,11.62,"Hitro-rastoča mobile in web app development agencija išče backend razvijalca/ko z vsaj enim letom izkušenj dela s Python, JavaScript in TypeScript. So mlada ekipa polna ambicioznih posameznikov. Nudijo delo v prijetnem delovnem okolju, ki ti omogoča rast in svobodo odločanja, občasno tudi delo od doma. Več informacij in način prijave na delo pridobiš preko povezave. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
POMOČ PRI PRODAJI,435522,CELJE,6.50,7.55,"Podjetje potrebuje osebi, starejši od 20 let, za pomoč pri prodaji dodatne opreme za mobilno telefonijo. Zaželene so predhodne izkušnje s prodajo. Poleg urne postavke vam pripada tudi % od prodaje. Prijave sprejemajo na e-mail. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
DELO NA TERENU,435521,LJUBLJANA,8.50,9.88,"Manj zahtevna fizična dela na terenu, adaptacije stanovanj - pomoč pri prenosu materiala iz dostavnega vozila na objekt, prenos odpadnega gradbenega materiala iz objekta v kontejner, štemanje, čiščenje, lažja gradbena dela. Delo poteka po navodilih, tako da predznanje ni potrebno. Za pridne in vestne je možnost dogovora o povišanju urne postave. Za dodatne informacije pokličite. ",1,PO DOGOVORU,PO DOGOVORU,21. 8. 2024
PRODAJA,435520,MARIBOR,6.20,7.21,"Podjetje potrebuje komunikativnega/o in natančnega/o študenta/ko za pomoč v trgovini. Imajo manjše poslovalnice, kjer so potrebne izkušnje z delom na blagajni in pri delu z ljudmi. Če ste se našli v opisu, prijavo oddajte s klikom na gumb Prijavi se na delo. ",1,PO DOGOVORU,PO DOGOVORU,26. 8. 2024
POMOČ V TRGOVINI,435519,MARIBOR,6.50,7.55,"Iščejo osebo za pomoč pri prodaji v trgovini z moškimi in ženskimi oblačili. Če obožuješ modo, rad/a delaš z ljudmi, si komunikativen/a in si se pripravljen/a učiti, si morda prav ti oseba, ki jo potrebujejo. Delo je fleksibilno, poteka dvoizmensko, vikendi so delovni.  Na delo se prijaviš osebno v trgovini, kjer pri blagajniškem pultu izpolniš prijavnico. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
DELO V SKLADIŠČU,435518,MENGEŠ,9.00,10.46,"Potrebujejo polnoletne osebe za skeniranje in razporejanje prejetih pošiljk ter pripravo palet za razvoz. Delo poteka med 12. 00 in 17. 00, od ponedeljka do petka, po dogovoru in potrebi, kakšen dan tudi kakšna ura več, pri večjem obsegu dela. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
DELO V PEKARNI,435517,MARIBOR,6.20,7.21,"V pasji pekarni potrebujejo osebo za pomoč pri izdelavi testa. Gre za pomoč pri pripravi testa po recepturi, izrezovanje piškotov in sestavljanje piškotov. Dela se med tednom v dopoldanskem času. ",1,PO DOGOVORU,DOPOLDAN,26. 8. 2024
POMIVALEC,435516,CERKLJE NA GORENJSKEM,6.50,7.55,"Podjetje potrebuje pomoč pri delu v kuhinji: pomivanje posode, pomoč pri pripravi surovin, lažja in enostavna dela po dogovoru . . . Izkušnje niso potrebne. Urnik po dogovoru, v dopoldanskem, popoldanskem času ali ob vikendih. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
STREŽBA,435515,KRANJ,7.00,8.13,"Jutranji lokal išče pozitivno, urejeno, organizirano in delavno osebo za okrepitev svoje ekipe. Izkušnje so zaželene, vendar niso pogoj. Delo poteka samo v dopoldanski izmeni. Obvezna polnoletnost. Za več informacij pokličite ali pošljite prijavo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
FIZIČNA DELA,435514,ŠENTVID PRI STIČNI,7.50,8.72,"Iščejo polnoletne osebe za pomoč pri arheoloških delih na terenu. Za opravljanje dela so potrebna primerna oblačila (kapa, klobuk) in obutev. Organiziran prevoz iz Ljubljane. ",2, 1 TEDEN,DOPOLDAN,21. 8. 2024
STREŽBA HRANE IN PIJAČE,435513,CERKLJE NA GORENJSKEM,8.00,9.30,"Podjetje potrebuje osebo za delo v strežbi. Pogoj je starost nad 18 let. Izkušnje so zaželene. Delo poteka dopoldne med 9. in 14. uro ali popoldne med 18. in 22. uro, po potrebi in dogovoru. Možno je tudi delo med vikendi. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
RAZVOZ HRANE,435512,CERKLJE NA GORENJSKEM,7.00,8.13,Podjetje potrebuje osebo za razvoz hrane. Pogoj je starost nad 18 let. Izkušnje niso potrebne. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,po dogovoru
MONTAŽA,435511,GROSUPLJE IN TEREN,9.50,11.04,Podjetje išče osebi za pomoč v proizvodnji in terenski montaži kovinskih elementov. Delo je zanimivo in raznoliko. Delavni čas je po dogovoru. Zaželene so izkušnje. ,2,PO DOGOVORU,PO DOGOVORU,po dogovoru
ČIŠČENJE,435510,BLED,10.00,11.62,"Čiščenje apartmaja. Čiščenje traja cca. 5 ur, možnost sodelovanja tudi v prihodnje. ",1,25. 8. 2024 CCA. 5 UR,MED VIKENDI,25. 8. 2024
DELO V KAVARNI,435509,JESENICE,7.00,8.13,"V mirni kavarni iščejo osebo za pomoč v strežbi. Strežejo se večinoma brezalkoholne pijače, gostje so večinoma prehodni in turisti. Lokal je odprt od 7. do 20. ure. Nedelje in praznike je lokal zaprt, občasno se dela sobota. Stimulativno plačilo se giblje od 8,13 do 9,88 €/h bruto, glede na obseg dela. Prednost imajo osebe z izkušnjami v gostinstvu. Priporočljivo je znanje tujih jezikov, vsaj angleškega jezika. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
PRODAJA,435508,KOPER,6.20,7.21,"Za delo v trgovini s spodnjim perilom, pižamami in oblačili za prosti čas iščejo dve odgovorni osebi, ki radi delata v timu in obožujeta modo. Delo poteka po dogovoru med tednom in ob sobotah (urnik se pripravi za en mesec vnaprej).  Nudijo povišanje urne postavke po končanem uvajanju. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,26. 8. 2024
DELO V LABORATORIJU,435507,LJUBLJANA,6.20,7.21,"Farmacevtsko podjetje potrebuje 2 študenta/ki za delo v Analitskem laboratoriju. Iščejo študente Farmacevtske in FKKT smeri. Delo poteka v dopoldanskem času, po potrebi. Gre za delo v analitskem laboratoriju - izdaja standardov, kemikalij (priprava in izdaja materiala, delo z vzorci, kemikalijami, evidentiranje v aplikaciji,. . ). ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
STREŽBA,435505,KOMENDA,9.00,10.46,Iščejo polnoletno osebo za samostojno delo v strežbi. Popolnoma se prilagodijo vašemu urniku. Izkušnje niso pogoj. Obvezno tekoče znanje slovenskega jezika. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POUČEVANJE,435504,RADOMLJE,8.00,9.30,Iščejo osebo za poučevanje matematike na predmetni stopnji. Delovnik je po potrebi in dogovoru. ,1,PO DOGOVORU,DOPOLDAN,2. 9. 2024
STREŽBA HRANE IN PIJAČE,435503,PORTOROŽ,8.61,10.00,"Podjetje išče zanesljive in odgovorne osebe za delo v strežbi. Opis dela: strežba hrane in pijače, pospravljanje, skrb za red in čistočo. Zaželene izkušnje in veselje do dela s strankami. ",8,DO 30. 9. 2024,PO DOGOVORU,30. 8. 2024
